down "Inclinar para Baixo"
up "Inclinar para Cima"
left "Inclinar à Esquerda"
right "Inclinar à Direita"
yawleft "Guinada à Esquerda"
yawright "Guinada à Direita"
throtInc "Acelerar"
throtDec "Desacelerar"
gears "Trem de Pouso"
primary "Disparar Primário"
secondary "Disparar Secundário"
weapon "Trocar Arma"
weapon1 Bombas
weapon2 Foguetes
weapon3 Torpedos
avionics Aviônicos
radar Radar
bombview "Visão de Bomba"
camera "Trocar câmera"
camera1 "Câmera 1"
camera2 "Câmera 2"
camera3 "Câmera 3"
camera4 "Câmera 4"
camera5 "Câmera 5"
camera6 "Câmera 6"
camera7 "Câmera 7"
camera8 "Câmera 8"
bonus "Modo Bônus"
maneuver "Modo Manobra"
zoom Zoom
bonusweapon "Arma Bônus"
bonusup "Perseguição Bônus"
bonusdown "Looping Bônus"
bonusright "Immelman Bônus"
bonusthrottle "Aceleração Bônus"
